epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5448,1.13583,4.43506,1.09898,0.00285,0.15,0.00121,0.0003,0.91969,4.5384,1.04988,5e-05,5e-05,5e-05
2,41.696,0.95633,3.6228,0.96672,0.02755,1,0.995,0.78511,0.74164,3.90031,0.83837,0.000108911,0.000108911,0.000108911
3,62.2622,0.99695,1.98821,0.92918,0.05464,1,0.995,0.75082,0.81079,3.61398,0.82712,0.000166634,0.000166634,0.000166634
4,82.8093,0.82704,1.35778,0.92416,0.08097,1,0.99024,0.75984,0.77802,3.59738,0.84198,0.000223169,0.000223169,0.000223169
5,102.758,0.79854,1.55799,0.88913,0.06689,1,0.995,0.75456,0.80016,3.70479,0.84913,0.000278516,0.000278516,0.000278516
6,123.145,0.97988,1.42348,1.00401,0.04651,1,0.995,0.74676,0.81784,3.55937,0.85822,0.000332675,0.000332675,0.000332675
7,143.157,0.84283,1.29042,0.9269,0.03683,1,0.995,0.74491,0.82111,3.49668,0.89552,0.000385646,0.000385646,0.000385646
8,163.956,0.79886,1.35197,0.9314,0.03279,1,0.995,0.75227,0.81744,3.53964,0.90134,0.000437429,0.000437429,0.000437429
9,183.703,0.84647,1.25665,1.00855,0.02323,1,0.98848,0.78851,0.77239,3.58865,0.92816,0.000488024,0.000488024,0.000488024
10,203.151,0.9373,1.2773,1.04718,0.01327,1,0.995,0.79441,0.75105,3.45106,0.9162,0.000537431,0.000537431,0.000537431
11,222.749,0.94598,1.3061,1.03807,0.59745,1,0.95395,0.73876,0.74901,3.451,0.93502,0.00058565,0.00058565,0.00058565
12,242.283,0.71547,2.18367,0.82422,1,0.76604,0.995,0.714,0.85823,3.09621,0.97966,0.000632681,0.000632681,0.000632681
13,261.345,1.2462,1.37829,1.4052,1,0.18542,0.995,0.7711,0.80249,3.06571,1.00397,0.000678524,0.000678524,0.000678524
14,280.431,0.75344,2.16022,0.86622,1,0.68492,0.995,0.77969,0.77226,2.80626,0.99119,0.000723179,0.000723179,0.000723179
15,299.56,0.86443,1.1536,1.09875,0.98044,1,0.995,0.8081,0.75273,2.47667,0.97708,0.000766646,0.000766646,0.000766646
16,318.926,0.80966,1.16669,1.01514,0.98212,1,0.995,0.78668,0.76627,2.28508,0.96892,0.000808925,0.000808925,0.000808925
17,337.903,0.89692,1.12756,0.98934,0.98451,1,0.995,0.81974,0.7465,2.00202,0.99653,0.0008416,0.0008416,0.0008416
18,356.997,0.86789,1.08681,1.00304,0.99942,1,0.995,0.78246,0.76159,1.83203,1.00266,0.0008317,0.0008317,0.0008317
19,376.45,0.83898,1.12263,0.98695,1,0.97761,0.995,0.79493,0.71543,2.19797,0.96094,0.0008218,0.0008218,0.0008218
20,395.622,0.92247,1.26623,1.15573,1,0.99475,0.995,0.77886,0.72969,1.59888,0.95087,0.0008119,0.0008119,0.0008119
21,415.092,0.71576,1.09272,1.00463,1,0.99676,0.995,0.79538,0.76455,1.44267,0.95579,0.000802,0.000802,0.000802
22,434.295,0.82839,1.03864,1.00064,0.99851,1,0.995,0.79332,0.74799,1.41521,0.96485,0.0007921,0.0007921,0.0007921
23,453.344,0.74105,0.93195,0.93642,0.99739,1,0.995,0.80445,0.71628,1.25562,0.95857,0.0007822,0.0007822,0.0007822
24,472.447,0.74123,0.97697,1.0183,0.99721,1,0.995,0.797,0.77273,1.13135,0.9742,0.0007723,0.0007723,0.0007723
25,491.459,0.77596,0.93,0.97765,0.99652,1,0.995,0.80339,0.78904,1.12179,0.98281,0.0007624,0.0007624,0.0007624
26,510.551,0.78122,0.99617,0.96349,0.99651,1,0.995,0.82598,0.70261,1.16517,0.95947,0.0007525,0.0007525,0.0007525
27,529.704,0.82691,1.01097,0.99204,0.99713,1,0.995,0.81623,0.71122,1.09374,0.95694,0.0007426,0.0007426,0.0007426
