epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97865,1.07559,4.33327,1.07834,0.01011,0.52778,0.042,0.03434,0.71859,4.49574,0.9258,8e-05,8e-05,8e-05
2,6.46489,0.95465,3.30677,1.00228,0.0354,1,0.995,0.77751,0.75651,3.7825,0.86076,0.000168317,0.000168317,0.000168317
3,8.8848,1.01581,1.87573,0.96764,1,0.93001,0.995,0.72188,0.79079,3.13238,0.85452,0.000254852,0.000254852,0.000254852
4,11.2349,1.00821,1.67458,0.98631,1,0.94423,0.995,0.70893,0.89782,2.8769,0.88909,0.000339605,0.000339605,0.000339605
5,13.513,1.06719,1.6531,0.99426,1,0.49974,0.98577,0.6949,0.92147,3.03435,0.88782,0.000422576,0.000422576,0.000422576
6,15.9018,0.89938,1.77687,0.96825,1,0.26009,0.995,0.75242,0.77331,3.06764,0.87171,0.000503765,0.000503765,0.000503765
7,18.3304,0.8837,1.5096,0.99482,1,0.97985,0.995,0.79253,0.74016,2.65265,0.92457,0.000583172,0.000583172,0.000583172
8,20.6879,0.92108,1.53512,1.01656,1,0.97483,0.995,0.81116,0.71588,2.79323,0.94272,0.000660797,0.000660797,0.000660797
9,23.0739,0.83362,1.38957,0.96582,1,0.51226,0.995,0.7824,0.73242,2.96149,0.93066,0.00073664,0.00073664,0.00073664
10,25.374,0.89987,1.47145,1.0424,1,0.47525,0.995,0.76911,0.78279,2.95323,0.93282,0.000810701,0.000810701,0.000810701
11,27.8086,1.00121,1.42279,1.01869,1,0.94925,0.995,0.78711,0.7408,2.38652,0.92589,0.00088298,0.00088298,0.00088298
12,30.0908,0.97869,1.35919,1.1003,1,0.92165,0.995,0.7769,0.80587,2.48914,0.94978,0.0008911,0.0008911,0.0008911
13,32.4504,0.95963,1.41539,1.12239,1,0.99939,0.995,0.79882,0.82157,2.28633,0.96255,0.0008812,0.0008812,0.0008812
14,34.7214,0.85073,1.36013,0.99068,0.98969,1,0.995,0.8151,0.7128,1.97203,0.92142,0.0008713,0.0008713,0.0008713
